"REF_DATE","GEO","DGUID","Type of service","Air carrier levels","Operating statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013","Canada","2016A000011124","Charter services","Canadian air carriers, Levels I and II","Passengers","Number","223","thousands","3","v122615208","1.3.2.2","2958","","","","0"
"2013","Canada","2016A000011124","Charter services","Canadian air carriers, Levels I and II","Goods carried","Kilograms","192","thousands","3","v122615209","1.3.2.3","225362","","","","0"
"2013","Canada","2016A000011124","Charter services","Canadian air carriers, Levels I and II","Passenger-kilometres","Number","223","thousands","3","v122615210","1.3.2.4","6593445","","","","0"
"2013","Canada","2016A000011124","Charter services","Canadian air carriers, Levels I and II","Passenger tonne-kilometres","Tonne-kilometres","285","thousands","3","v122615211","1.3.2.5","659344","","","","0"
"2013","Canada","2016A000011124","Charter services","Canadian air carriers, Levels I and II","Goods tonne-kilometres","Tonne-kilometres","285","thousands","3","v122615212","1.3.2.6","284120","","","","0"
"2013","Canada","2016A000011124","Charter services","Canadian air carriers, Levels I and II","Total tonne-kilometres","Tonne-kilometres","285","thousands","3","v122615213","1.3.2.7","943465","","","","0"
"2013","Canada","2016A000011124","Charter services","Canadian air carriers, Levels I and II","Hours flown","Number","223","thousands","3","v122615214","1.3.2.8","163","","","","0"
"2013","Canada","2016A000011124","Charter services","Canadian air carriers, Level III","Passengers","Number","223","thousands","3","v122615215","1.3.3.2","1374","","","","0"
"2013","Canada","2016A000011124","Charter services","Canadian air carriers, Level III","Goods carried","Kilograms","192","thousands","3","v122615216","1.3.3.3","38374","","","","0"
"2013","Canada","2016A000011124","Charter services","Canadian air carriers, Level III","Passenger-kilometres","Number","223","thousands","3","v122615217","1.3.3.4","868424","","","","0"
"2013","Canada","2016A000011124","Charter services","Canadian air carriers, Level III","Passenger tonne-kilometres","Tonne-kilometres","285","thousands","3","v122615218","1.3.3.5","86842","","","","0"
"2013","Canada","2016A000011124","Charter services","Canadian air carriers, Level III","Goods tonne-kilometres","Tonne-kilometres","285","thousands","3","v122615219","1.3.3.6","17060","","","","0"
"2013","Canada","2016A000011124","Charter services","Canadian air carriers, Level III","Total tonne-kilometres","Tonne-kilometres","285","thousands","3","v122615220","1.3.3.7","103902","","","","0"
"2013","Canada","2016A000011124","Charter services","Canadian air carriers, Level III","Hours flown","Number","223","thousands","3","v122615221","1.3.3.8","374","","","","0"
"2014","Canada","2016A000011124","Total, scheduled and charter services","Total, Canadian air carriers, Levels I to III","Number of carriers included","Number","223","units","0","v122615158","1.1.1.1","93","","","","0"
"2014","Canada","2016A000011124","Total, scheduled and charter services","Total, Canadian air carriers, Levels I to III","Passengers","Number","223","thousands","3","v122615159","1.1.1.2","72236","","","","0"
"2014","Canada","2016A000011124","Total, scheduled and charter services","Total, Canadian air carriers, Levels I to III","Goods carried","Kilograms","192","thousands","3","v122615160","1.1.1.3","736764","","","","0"
"2014","Canada","2016A000011124","Total, scheduled and charter services","Total, Canadian air carriers, Levels I to III","Passenger-kilometres","Number","223","thousands","3","v122615161","1.1.1.4","166704414","","","","0"
"2014","Canada","2016A000011124","Total, scheduled and charter services","Total, Canadian air carriers, Levels I to III","Passenger tonne-kilometres","Tonne-kilometres","285","thousands","3","v122615162","1.1.1.5","16670441","","","","0"
